5901;M;DK Blue Bijou's Zico;SIA n;19930612;FD LO 72382;9716;9716;SIA n;2789;SIA n
5908;F;DK Dreier's Athena;SIA a;19911104;FD LO 65876;5532;5532;SIA n;25630;SIA g
5910;M;Misriya's Little Blue Garfield;OSH a 24;19900822;FD LO 60937;30446;30446;OSH n 23;38277;OSH a 24
5916;M;DK Haslund's Sveske;OSH n;19920218;FD LO 66438;7986;7986;SIA n;25705;OSH b 24
5946;M;Beldenak af Blansvet DK;SIA c 21;19910308;FD LO 62505;7504;7504;SIA b;7140;SIA c 21
5947;F;Allegretto's Oryza;SIA n;19900910;FD LO 60878;20222;20222;SIA c;18278;SIA n
5956;F;Allegretto's Ottelia;SIA n;19900910;FD LO 60877;20222;20222;SIA c;18278;SIA n
5957;M;Allegretto's Oleaster;SIA n;19900910;FD LO 60876;20222;20222;SIA c;18278;SIA n
5965;F;Winnetou's Ebony-Image;OSH n;19870519;FD LO 47313;2952;2952;SIA n;50242;OSH n 24
6019;M;Misriya's Little Tiger;OSH n 23;19900822;FD LO 60936;30446;30446;OSH n 23;38277;OSH a 24
6024;M;Misriya's Blue Jason;OSH a 24;19900406;FD LO 58710;9658;9658;OSH a 23;38277;OSH a 24
6027;F;DK Otium Lærke;SIA n;19901009;FD LO 60951;60684;60684;SIA n;28554;SIA b
6028;F;Misriya's Little Lion;OSH n 23;19900822;FD LO 60940;30446;30446;OSH n 23;38277;OSH a 24
6031;F;Fleuretto mixed Troubles;OSH f;19901014;FD LO 60948;4849;4849;OSH b;11107;SIA f
6070;M;DK Stærkodder's Andi;SIA b;19901116;FD LO 61519;20222;20222;SIA c;15294;SIA b
6124;F;Salween Blue's Natasja;SIA a;19900114;FD LO 58171;10135;10135;SIA a;4498;SIA a
6128;M;Pi-Den Butterscotch;SIA b;19801010;FD LO 28179;341;341;SIA n;349;SIA n
6139;F;DK Kjær's Elaine;SIA n 21;19910218;FD LO 62595;7901;7901;SIA n 21;9740;SIA n
6140;F;Comtesse de Larousse DK;SIA b;19921122;FD LO 69770;25018;25018;SIA n;15847;SIA b
6188;F;Ussi af Bajang;SIA n;19900807;FD LO 60744;5532;5532;SIA n;17112;SIA n
6198;F;DK Ragtime's White Billie;SIA w 67;19900422;FD LO 59517;13864;13864;SIA a;13086;SIA w 67
6199;M;DK Ragtime's Blå Baldrian;SIA a;19900422;FD LO 59514;13864;13864;SIA a;13086;SIA w 67
6235;M;Misriya's Umba-Bumba;SIA n;19930701;FD LO 72841;30446;30446;OSH n 23;16746;SIA n 21
6237;M;DK Hieronymus' Bobby;SIA n;19870616;FD LO 48982;17991;17991;SIA n;4663;SIA n
6258;F;Nissen's Ona;OSH n;19880915;FD LO 53700;7450;7450;OSH n;15365;OSH c
6260;M;Blue Felicity's Felix;SIA e;19881109;FD LO 53773;15698;15698;OSH d;6259;SIA w 67
